url,minimum_order_quantity,status
https://www.crlaurence.com/All-Products/Door-%26-Window-Hardware/Signs%2C-Decals%2C-%26-Indicators/CRL-Stegbar-Style-Glass-Safety-Decal/p/010331,5,ok
https://www.crlaurence.com/All-Products/Glazing-Tools-%26-Supplies/Glass-Fabrication-Tools-%26-Equipment/Glass-Plastic-Cutters%2C-Chippers%2C-Nibblers%2C-%26-Accessories/Glass-Cutters-%26-Accessories/CRL-Fletcher®-Gold-Tip®-Metal-Handle-Straight-End-Glass-Cutter/p/01,,error: 'ascii' codec can't encode character '\xae' in position 190: ordinal not in range(128)
